Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,23.61,20.00,500.00,21.18
2,23.54,20.00,500.00,21.24
3,23.52,20.00,500.00,21.26
4,23.51,20.00,500.00,21.27
5,23.49,20.00,500.00,21.29
6,23.47,20.00,500.00,21.30
7,23.45,20.00,500.00,21.32
8,23.44,20.00,500.00,21.34
9,23.42,20.00,500.00,21.35
11,23.34,20.00,500.00,21.42
10,23.40,20.00,500.00,21.37
12,23.32,20.00,500.00,21.44
13,23.30,20.00,500.00,21.46
15,23.22,20.00,500.00,21.53
14,23.29,20.00,500.00,21.47
16,23.20,20.00,500.00,21.55
17,23.23,20.00,500.00,21.53
18,23.17,20.00,500.00,21.58
20,23.08,20.00,500.00,21.66
19,23.15,20.00,500.00,21.60
21,23.06,20.00,500.00,21.68
22,23.05,20.00,500.00,21.70
23,23.03,20.00,500.00,21.72
25,22.94,20.00,500.00,21.79
24,23.01,20.00,500.00,21.73
26,22.92,20.00,500.00,21.81
27,22.90,20.00,500.00,21.84
28,22.88,20.00,500.00,21.86
29,22.86,20.00,500.00,21.88
31,22.77,20.00,500.00,21.95
30,22.84,20.00,500.00,21.89
32,22.75,20.00,500.00,21.98
33,22.73,20.00,500.00,22.00
34,22.71,20.00,500.00,22.02
36,22.62,20.00,500.00,22.10
35,22.68,20.00,500.00,22.04
37,22.60,20.00,500.00,22.13
38,22.58,20.00,500.00,22.15
39,22.55,20.00,500.00,22.17
40,22.52,20.00,500.00,22.20
41,22.50,20.00,500.00,22.22
42,22.44,20.00,500.00,22.28
43,22.41,20.00,500.00,22.31
44,22.39,20.00,500.00,22.33
45,22.36,20.00,500.00,22.36
46,22.30,20.00,500.00,22.42
47,22.28,20.00,500.00,22.45
48,22.25,20.00,500.00,22.47
49,22.22,20.00,500.00,22.50
50,22.19,20.00,500.00,22.53
52,22.10,20.00,500.00,22.62
51,22.17,20.00,500.00,22.55
53,22.08,20.00,500.00,22.65
54,22.05,20.00,500.00,22.68
56,21.96,20.00,500.00,22.77
55,22.02,20.00,500.00,22.70
57,21.93,20.00,500.00,22.80
58,21.90,20.00,500.00,22.83
60,21.81,20.00,500.00,22.92
59,21.87,20.00,500.00,22.86
61,21.78,20.00,500.00,22.96
62,21.75,20.00,500.00,22.99
63,21.72,20.00,500.00,23.02
64,21.66,20.00,500.00,23.08
