Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.23,20.00,500.00,37.80
2,13.21,20.00,500.00,37.85
3,13.22,20.00,500.00,37.82
4,13.22,20.00,500.00,37.83
5,13.21,20.00,500.00,37.85
6,13.21,20.00,500.00,37.85
7,13.21,20.00,500.00,37.84
8,13.21,20.00,500.00,37.84
9,13.21,20.00,500.00,37.86
10,13.21,20.00,500.00,37.86
11,13.20,20.00,500.00,37.87
12,13.20,20.00,500.00,37.88
13,13.19,20.00,500.00,37.89
14,13.19,20.00,500.00,37.92
15,13.19,20.00,500.00,37.92
16,13.18,20.00,500.00,37.93
