Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,14.63,20.00,500.00,34.19
2,14.56,20.00,500.00,34.34
3,14.49,20.00,500.00,34.51
4,14.48,20.00,500.00,34.52
5,14.48,20.00,500.00,34.53
6,14.48,20.00,500.00,34.54
7,14.49,20.00,500.00,34.49
8,14.50,20.00,500.00,34.48
9,14.49,20.00,500.00,34.51
10,14.48,20.00,500.00,34.54
11,14.45,20.00,500.00,34.61
12,14.46,20.00,500.00,34.58
13,14.48,20.00,500.00,34.53
14,14.60,20.00,500.00,34.25
15,14.46,20.00,500.00,34.59
16,14.45,20.00,500.00,34.60
