Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,3.83,20.00,500.00,130.70
2,3.79,20.00,500.00,131.85
3,3.79,20.00,500.00,131.94
4,3.79,20.00,500.00,132.02
5,3.79,20.00,500.00,131.96
6,3.79,20.00,500.00,131.95
7,3.79,20.00,500.00,131.90
8,3.83,20.00,500.00,130.58
9,3.79,20.00,500.00,131.87
10,3.79,20.00,500.00,132.00
11,3.79,20.00,500.00,131.94
12,3.79,20.00,500.00,131.97
13,3.79,20.00,500.00,131.79
14,3.79,20.00,500.00,131.94
15,3.79,20.00,500.00,131.89
16,3.79,20.00,500.00,131.80
