Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,0.61,51.00,61.00,100.07
2,0.65,51.00,68.00,105.38
3,0.61,51.00,64.00,105.31
4,0.56,51.00,59.00,105.19
5,0.62,51.00,65.00,105.51
6,0.62,51.00,66.00,105.62
7,0.62,51.00,65.00,105.66
8,0.61,51.00,64.00,105.59
9,0.62,51.00,66.00,105.68
10,0.63,51.00,66.00,105.33
11,0.58,51.00,61.00,105.72
12,0.62,51.00,65.00,105.59
13,0.53,51.00,56.00,105.06
14,0.62,51.00,65.00,105.61
15,0.61,51.00,65.00,105.74
16,0.61,51.00,64.00,105.61
