Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.61,20.00,500.00,75.65
2,6.68,20.00,500.00,74.88
3,6.62,20.00,500.00,75.55
4,6.69,20.00,500.00,74.75
5,6.63,20.00,500.00,75.42
6,6.70,20.00,500.00,74.63
7,6.64,20.00,500.00,75.29
8,6.71,20.00,500.00,74.50
9,6.65,20.00,500.00,75.17
10,6.72,20.00,500.00,74.41
11,6.66,20.00,500.00,75.08
13,6.67,20.00,500.00,74.98
12,6.73,20.00,500.00,74.27
15,6.68,20.00,500.00,74.89
14,6.74,20.00,500.00,74.18
17,6.68,20.00,500.00,74.80
16,6.75,20.00,500.00,74.10
19,6.69,20.00,500.00,74.71
18,6.76,20.00,500.00,74.01
20,6.76,20.00,500.00,73.95
21,6.70,20.00,500.00,74.61
23,6.71,20.00,500.00,74.55
22,6.77,20.00,500.00,73.86
24,6.77,20.00,500.00,73.80
26,6.65,20.00,500.00,75.14
25,6.72,20.00,500.00,74.43
28,6.65,20.00,500.00,75.17
27,6.71,20.00,500.00,74.46
30,6.65,20.00,500.00,75.13
29,6.72,20.00,500.00,74.42
31,6.72,20.00,500.00,74.42
32,6.66,20.00,500.00,75.08
35,6.61,20.00,500.00,75.67
34,6.67,20.00,500.00,74.94
33,6.74,20.00,500.00,74.23
37,6.61,20.00,500.00,75.63
36,6.67,20.00,500.00,74.92
39,6.61,20.00,500.00,75.59
38,6.68,20.00,500.00,74.87
40,6.68,20.00,500.00,74.85
41,6.62,20.00,500.00,75.52
42,6.68,20.00,500.00,74.86
43,6.62,20.00,500.00,75.54
44,6.68,20.00,500.00,74.80
46,6.56,20.00,500.00,76.17
45,6.63,20.00,500.00,75.44
48,6.56,20.00,500.00,76.25
47,6.62,20.00,500.00,75.51
50,6.55,20.00,500.00,76.32
49,6.61,20.00,500.00,75.59
52,6.54,20.00,500.00,76.40
51,6.61,20.00,500.00,75.66
53,6.60,20.00,500.00,75.77
54,6.54,20.00,500.00,76.46
56,6.53,20.00,500.00,76.53
57,6.47,20.00,500.00,77.24
55,6.60,20.00,500.00,75.79
58,6.52,20.00,500.00,76.67
59,6.46,20.00,500.00,77.38
61,6.45,20.00,500.00,77.51
60,6.51,20.00,500.00,76.77
62,6.50,20.00,500.00,76.89
63,6.44,20.00,500.00,77.59
64,6.47,20.00,500.00,77.23
