Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.65,45.00,500.00,75.18
3,6.66,45.00,500.00,75.11
2,6.72,45.00,500.00,74.39
4,6.73,45.00,500.00,74.26
5,6.67,45.00,500.00,74.93
7,6.68,45.00,500.00,74.80
6,6.75,45.00,500.00,74.10
8,6.75,45.00,500.00,74.02
9,6.70,45.00,500.00,74.68
10,6.77,45.00,500.00,73.91
11,6.71,45.00,500.00,74.57
13,6.71,45.00,500.00,74.47
12,6.78,45.00,500.00,73.78
15,6.72,45.00,500.00,74.37
14,6.79,45.00,500.00,73.68
16,6.79,45.00,500.00,73.61
17,6.73,45.00,500.00,74.26
18,6.80,45.00,500.00,73.51
19,6.74,45.00,500.00,74.16
20,6.81,45.00,500.00,73.47
21,6.75,45.00,500.00,74.11
23,6.75,45.00,500.00,74.07
22,6.81,45.00,500.00,73.38
26,6.70,45.00,500.00,74.62
25,6.76,45.00,500.00,73.93
24,6.83,45.00,500.00,73.25
28,6.70,45.00,500.00,74.64
27,6.76,45.00,500.00,73.95
29,6.76,45.00,500.00,73.93
30,6.70,45.00,500.00,74.60
31,6.77,45.00,500.00,73.90
32,6.71,45.00,500.00,74.56
34,6.71,45.00,500.00,74.46
35,6.65,45.00,500.00,75.13
33,6.78,45.00,500.00,73.76
37,6.66,45.00,500.00,75.13
36,6.72,45.00,500.00,74.42
38,6.72,45.00,500.00,74.37
39,6.66,45.00,500.00,75.04
40,6.73,45.00,500.00,74.34
41,6.67,45.00,500.00,75.00
42,6.73,45.00,500.00,74.34
43,6.67,45.00,500.00,75.00
46,6.61,45.00,500.00,75.66
44,6.73,45.00,500.00,74.26
45,6.67,45.00,500.00,74.94
47,6.66,45.00,500.00,75.03
48,6.60,45.00,500.00,75.70
49,6.66,45.00,500.00,75.11
50,6.60,45.00,500.00,75.78
52,6.59,45.00,500.00,75.87
51,6.65,45.00,500.00,75.14
55,6.53,45.00,500.00,76.62
54,6.59,45.00,500.00,75.89
53,6.65,45.00,500.00,75.17
57,6.52,45.00,500.00,76.73
56,6.58,45.00,500.00,76.00
59,6.51,45.00,500.00,76.83
58,6.57,45.00,500.00,76.08
60,6.56,45.00,500.00,76.23
61,6.50,45.00,500.00,76.93
64,6.42,45.00,500.00,77.91
63,6.48,45.00,500.00,77.14
62,6.54,45.00,500.00,76.41
