Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
2,30.56,20.00,500.00,16.36
1,30.63,20.00,500.00,16.33
3,30.50,20.00,500.00,16.39
4,30.84,20.00,500.00,16.21
7,30.66,20.00,500.00,16.31
6,30.72,20.00,500.00,16.28
5,30.78,20.00,500.00,16.24
8,31.13,20.00,500.00,16.06
10,31.01,20.00,500.00,16.12
9,31.07,20.00,500.00,16.09
11,32.40,20.00,500.00,15.43
12,34.90,20.00,500.00,14.33
13,36.73,20.00,500.00,13.61
14,38.44,20.00,500.00,13.01
15,40.11,20.00,500.00,12.47
16,41.11,20.00,500.00,12.16
17,42.15,20.00,500.00,11.86
18,43.16,20.00,500.00,11.59
19,44.05,20.00,500.00,11.35
20,44.95,20.00,500.00,11.12
21,45.95,20.00,500.00,10.88
22,46.85,20.00,500.00,10.67
23,47.60,20.00,500.00,10.51
24,47.87,20.00,500.00,10.45
25,48.77,20.00,500.00,10.25
26,49.47,20.00,500.00,10.11
27,53.20,20.00,500.00,9.40
28,57.25,20.00,500.00,8.73
29,60.21,20.00,500.00,8.30
30,60.68,20.00,500.00,8.24
31,61.57,20.00,500.00,8.12
32,62.62,20.00,500.00,7.98
33,63.45,20.00,500.00,7.88
34,64.14,20.00,500.00,7.80
35,65.35,20.00,500.00,7.65
36,65.84,20.00,500.00,7.59
37,66.67,20.00,500.00,7.50
38,67.11,20.00,500.00,7.45
39,68.44,20.00,500.00,7.31
40,68.82,20.00,500.00,7.27
41,70.76,20.00,500.00,7.07
42,74.09,20.00,500.00,6.75
43,76.02,20.00,500.00,6.58
44,78.43,20.00,500.00,6.38
45,80.71,20.00,500.00,6.20
46,82.27,20.00,500.00,6.08
47,83.99,20.00,500.00,5.95
48,84.73,20.00,500.00,5.90
49,85.94,20.00,500.00,5.82
50,87.08,20.00,500.00,5.74
51,87.91,20.00,500.00,5.69
52,88.57,20.00,500.00,5.65
53,88.92,20.00,500.00,5.62
54,89.12,20.00,500.00,5.61
55,89.36,20.00,500.00,5.60
56,89.40,20.00,500.00,5.59
57,89.70,20.00,500.00,5.57
58,91.79,20.00,500.00,5.45
59,96.46,20.00,500.00,5.18
60,99.98,20.00,500.00,5.00
61,101.97,20.00,500.00,4.90
62,103.22,20.00,500.00,4.84
63,104.49,20.00,500.00,4.78
64,105.70,20.00,500.00,4.73
