Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,3.82,20.00,500.00,130.91
2,3.79,20.00,500.00,131.94
3,3.79,20.00,500.00,132.06
4,3.78,20.00,500.00,132.13
5,3.79,20.00,500.00,132.04
6,3.79,20.00,500.00,132.00
7,3.79,20.00,500.00,132.07
8,3.79,20.00,500.00,131.94
9,3.79,20.00,500.00,132.01
10,3.78,20.00,500.00,132.15
11,3.79,20.00,500.00,132.09
12,3.78,20.00,500.00,132.11
13,3.79,20.00,500.00,132.04
14,3.79,20.00,500.00,132.00
15,3.79,20.00,500.00,131.99
16,3.84,20.00,500.00,130.24
