Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,5.53,45.00,500.00,90.34
2,5.48,45.00,500.00,91.29
3,5.48,45.00,500.00,91.32
4,5.47,45.00,500.00,91.33
5,5.47,45.00,500.00,91.34
6,5.47,45.00,500.00,91.34
7,5.48,45.00,500.00,91.31
8,5.48,45.00,500.00,91.29
9,5.47,45.00,500.00,91.33
10,5.48,45.00,500.00,91.29
11,5.48,45.00,500.00,91.28
12,5.48,45.00,500.00,91.30
13,5.47,45.00,500.00,91.34
14,5.47,45.00,500.00,91.33
15,5.47,45.00,500.00,91.33
16,5.47,45.00,500.00,91.34
