Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
3,0.69,51.00,59.00,85.08
1,0.82,51.00,67.00,81.87
2,0.85,51.00,65.00,76.76
4,0.73,51.00,59.00,81.37
5,0.88,51.00,64.00,72.45
6,0.82,51.00,65.00,78.93
8,0.70,51.00,57.00,81.28
7,0.87,51.00,66.00,75.90
9,0.75,51.00,57.00,76.14
10,0.69,51.00,57.00,82.86
12,0.81,51.00,64.00,79.37
11,0.87,51.00,64.00,73.59
13,0.87,51.00,66.00,76.07
15,0.75,51.00,57.00,76.41
14,0.91,51.00,65.00,71.68
16,0.80,51.00,59.00,73.30
17,0.86,51.00,66.00,76.88
19,0.74,51.00,57.00,77.37
18,0.91,51.00,64.00,70.54
21,0.72,51.00,57.00,78.68
20,0.90,51.00,64.00,71.44
23,0.71,51.00,59.00,82.68
22,0.78,51.00,59.00,75.94
25,0.70,51.00,57.00,81.74
24,0.76,51.00,59.00,77.57
26,0.86,51.00,64.00,74.51
29,0.68,51.00,57.00,84.33
28,0.74,51.00,57.00,76.63
27,0.81,51.00,64.00,79.29
30,0.83,51.00,64.00,76.88
31,0.77,51.00,59.00,76.33
32,0.71,51.00,59.00,82.71
33,0.76,51.00,57.00,75.12
34,0.70,51.00,59.00,84.40
36,0.81,51.00,64.00,79.44
35,0.87,51.00,66.00,75.96
38,0.81,51.00,66.00,81.67
37,0.87,51.00,66.00,75.74
39,0.87,51.00,64.00,73.96
41,0.74,51.00,59.00,79.25
40,0.81,51.00,57.00,70.72
43,0.74,51.00,59.00,79.56
42,0.92,51.00,66.00,71.78
45,0.74,51.00,57.00,77.33
44,0.91,51.00,64.00,70.55
47,0.73,51.00,59.00,81.34
46,0.79,51.00,59.00,74.86
48,0.77,51.00,57.00,73.73
49,0.82,51.00,66.00,80.27
50,0.76,51.00,57.00,74.74
51,0.81,51.00,66.00,81.43
52,0.75,51.00,57.00,75.87
53,0.69,51.00,57.00,82.41
55,0.68,51.00,59.00,87.29
54,0.84,51.00,64.00,76.58
56,0.71,51.00,57.00,79.75
58,0.69,51.00,57.00,82.90
57,0.85,51.00,66.00,78.01
60,0.76,51.00,64.00,84.31
62,0.64,51.00,59.00,92.42
59,0.82,51.00,66.00,80.11
61,0.70,51.00,59.00,83.99
64,0.59,51.00,57.00,96.60
63,0.65,51.00,59.00,90.51
