Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,5.48,20.00,500.00,91.30
2,5.45,20.00,500.00,91.79
3,5.45,20.00,500.00,91.81
4,5.44,20.00,500.00,91.88
5,5.45,20.00,500.00,91.79
6,5.45,20.00,500.00,91.73
7,5.45,20.00,500.00,91.78
8,5.45,20.00,500.00,91.77
9,5.45,20.00,500.00,91.70
10,5.45,20.00,500.00,91.77
11,5.45,20.00,500.00,91.81
12,5.45,20.00,500.00,91.81
13,5.45,20.00,500.00,91.81
14,5.45,20.00,500.00,91.82
15,5.44,20.00,500.00,91.84
16,5.44,20.00,500.00,91.85
