Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.39,20.00,500.00,78.29
2,6.45,20.00,500.00,77.51
3,6.39,20.00,500.00,78.24
5,6.39,20.00,500.00,78.20
4,6.46,20.00,500.00,77.44
7,6.41,20.00,500.00,77.98
6,6.48,20.00,500.00,77.21
8,6.52,20.00,500.00,76.68
9,6.46,20.00,500.00,77.38
10,6.56,20.00,500.00,76.26
11,6.50,20.00,500.00,76.97
12,6.59,20.00,500.00,75.90
13,6.53,20.00,500.00,76.59
15,6.57,20.00,500.00,76.12
14,6.63,20.00,500.00,75.39
17,6.59,20.00,500.00,75.86
16,6.65,20.00,500.00,75.14
19,6.60,20.00,500.00,75.71
18,6.67,20.00,500.00,75.00
20,6.69,20.00,500.00,74.77
21,6.63,20.00,500.00,75.45
22,6.71,20.00,500.00,74.52
23,6.65,20.00,500.00,75.20
26,6.60,20.00,500.00,75.77
24,6.72,20.00,500.00,74.36
25,6.66,20.00,500.00,75.03
27,6.68,20.00,500.00,74.85
28,6.62,20.00,500.00,75.53
30,6.62,20.00,500.00,75.58
29,6.68,20.00,500.00,74.86
31,6.68,20.00,500.00,74.91
32,6.62,20.00,500.00,75.57
35,7.17,20.00,500.00,69.74
34,7.35,20.00,500.00,67.99
33,7.67,20.00,500.00,65.22
36,7.48,20.00,500.00,66.82
38,7.48,20.00,500.00,66.84
40,7.61,20.00,500.00,65.71
37,7.80,20.00,500.00,64.14
39,8.04,20.00,500.00,62.17
41,7.92,20.00,500.00,63.12
43,8.04,20.00,500.00,62.18
42,8.22,20.00,500.00,60.79
44,8.23,20.00,500.00,60.79
45,8.29,20.00,500.00,60.33
46,8.35,20.00,500.00,59.90
47,10.74,20.00,500.00,46.57
49,10.74,20.00,500.00,46.55
48,10.80,20.00,500.00,46.28
50,10.68,20.00,500.00,46.81
52,10.67,20.00,500.00,46.86
51,10.73,20.00,500.00,46.58
55,10.61,20.00,500.00,47.15
53,10.73,20.00,500.00,46.60
54,10.67,20.00,500.00,46.86
57,10.60,20.00,500.00,47.18
58,10.54,20.00,500.00,47.45
56,10.66,20.00,500.00,46.90
59,10.59,20.00,500.00,47.23
60,10.53,20.00,500.00,47.49
64,10.39,20.00,500.00,48.14
63,10.45,20.00,500.00,47.85
61,10.58,20.00,500.00,47.28
62,10.51,20.00,500.00,47.56
