Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
2,24.19,20.00,500.00,20.67
1,24.26,20.00,500.00,20.61
7,24.49,20.00,500.00,20.42
6,24.55,20.00,500.00,20.37
3,24.74,20.00,500.00,20.21
8,24.43,20.00,500.00,20.47
5,24.62,20.00,500.00,20.31
9,24.37,20.00,500.00,20.51
4,24.68,20.00,500.00,20.26
10,25.35,20.00,500.00,19.73
11,28.20,20.00,500.00,17.73
12,29.56,20.00,500.00,16.91
13,31.45,20.00,500.00,15.90
16,48.21,20.00,500.00,10.37
20,47.97,20.00,500.00,10.42
14,48.34,20.00,500.00,10.34
17,48.15,20.00,500.00,10.38
19,48.03,20.00,500.00,10.41
15,48.28,20.00,500.00,10.36
18,48.09,20.00,500.00,10.40
21,50.90,20.00,500.00,9.82
22,53.28,20.00,500.00,9.38
23,55.19,20.00,500.00,9.06
24,57.14,20.00,500.00,8.75
30,71.75,20.00,500.00,6.97
25,72.06,20.00,500.00,6.94
28,71.88,20.00,500.00,6.96
27,71.94,20.00,500.00,6.95
29,71.82,20.00,500.00,6.96
26,72.00,20.00,500.00,6.94
31,74.69,20.00,500.00,6.69
32,77.07,20.00,500.00,6.49
34,78.92,20.00,500.00,6.34
33,78.98,20.00,500.00,6.33
35,81.34,20.00,500.00,6.15
37,95.70,20.00,500.00,5.22
36,95.76,20.00,500.00,5.22
39,95.58,20.00,500.00,5.23
38,95.64,20.00,500.00,5.23
40,96.61,20.00,500.00,5.18
41,98.56,20.00,500.00,5.07
42,101.00,20.00,500.00,4.95
44,102.90,20.00,500.00,4.86
45,102.84,20.00,500.00,4.86
43,102.96,20.00,500.00,4.86
46,105.34,20.00,500.00,4.75
50,119.70,20.00,500.00,4.18
47,119.89,20.00,500.00,4.17
51,119.64,20.00,500.00,4.18
49,119.77,20.00,500.00,4.17
48,119.83,20.00,500.00,4.17
52,119.58,20.00,500.00,4.18
53,120.63,20.00,500.00,4.15
54,120.57,20.00,500.00,4.15
55,122.43,20.00,500.00,4.08
56,122.85,20.00,500.00,4.07
57,126.58,20.00,500.00,3.95
58,127.93,20.00,500.00,3.91
60,131.57,20.00,500.00,3.80
59,131.63,20.00,500.00,3.80
62,132.85,20.00,500.00,3.76
61,132.91,20.00,500.00,3.76
63,133.80,20.00,500.00,3.74
64,133.74,20.00,500.00,3.74
