Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,4.77,20.00,500.00,104.75
2,4.80,20.00,500.00,104.10
3,4.84,20.00,500.00,103.24
4,4.78,20.00,500.00,104.53
5,4.82,20.00,500.00,103.83
6,4.85,20.00,500.00,103.03
8,4.83,20.00,500.00,103.51
7,4.89,20.00,500.00,102.15
9,4.86,20.00,500.00,102.82
11,4.84,20.00,500.00,103.28
10,4.90,20.00,500.00,101.94
12,4.87,20.00,500.00,102.60
14,4.85,20.00,500.00,103.10
13,4.91,20.00,500.00,101.78
15,4.88,20.00,500.00,102.45
16,4.92,20.00,500.00,101.72
18,4.89,20.00,500.00,102.21
17,4.96,20.00,500.00,100.89
20,4.87,20.00,500.00,102.76
19,4.93,20.00,500.00,101.43
21,4.90,20.00,500.00,102.12
23,4.87,20.00,500.00,102.62
22,4.94,20.00,500.00,101.32
24,4.90,20.00,500.00,102.07
25,4.93,20.00,500.00,101.34
26,4.87,20.00,500.00,102.59
27,4.90,20.00,500.00,102.03
28,4.93,20.00,500.00,101.33
29,4.87,20.00,500.00,102.57
30,4.90,20.00,500.00,102.03
32,4.87,20.00,500.00,102.64
31,4.93,20.00,500.00,101.33
33,4.90,20.00,500.00,102.09
34,4.93,20.00,500.00,101.40
35,4.87,20.00,500.00,102.65
36,4.90,20.00,500.00,102.14
37,4.93,20.00,500.00,101.52
38,4.87,20.00,500.00,102.74
39,4.89,20.00,500.00,102.34
40,4.92,20.00,500.00,101.69
41,4.86,20.00,500.00,102.94
43,4.81,20.00,500.00,103.87
42,4.88,20.00,500.00,102.50
44,4.83,20.00,500.00,103.44
45,4.86,20.00,500.00,102.90
46,4.80,20.00,500.00,104.15
47,4.82,20.00,500.00,103.78
48,4.84,20.00,500.00,103.22
49,4.78,20.00,500.00,104.52
50,4.80,20.00,500.00,104.14
51,4.83,20.00,500.00,103.60
52,4.77,20.00,500.00,104.89
54,4.73,20.00,500.00,105.82
53,4.79,20.00,500.00,104.41
55,4.74,20.00,500.00,105.43
56,4.77,20.00,500.00,104.88
57,4.71,20.00,500.00,106.18
58,4.72,20.00,500.00,105.86
60,4.69,20.00,500.00,106.71
59,4.75,20.00,500.00,105.29
62,4.64,20.00,500.00,107.72
61,4.71,20.00,500.00,106.27
63,4.66,20.00,500.00,107.39
64,4.66,20.00,500.00,107.21
