Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,5.47,20.00,500.00,91.39
2,5.45,20.00,500.00,91.81
3,5.45,20.00,500.00,91.79
4,5.45,20.00,500.00,91.79
5,5.46,20.00,500.00,91.54
6,5.45,20.00,500.00,91.75
7,5.44,20.00,500.00,91.83
8,5.44,20.00,500.00,91.83
9,5.44,20.00,500.00,91.83
10,5.44,20.00,500.00,91.83
11,5.44,20.00,500.00,91.86
12,5.44,20.00,500.00,91.86
13,5.44,20.00,500.00,91.90
14,5.44,20.00,500.00,91.88
15,5.45,20.00,500.00,91.81
16,5.45,20.00,500.00,91.82
