Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,14.81,20.00,500.00,33.75
2,15.05,20.00,500.00,33.22
5,14.87,20.00,500.00,33.63
3,14.99,20.00,500.00,33.35
6,14.81,20.00,500.00,33.76
4,14.94,20.00,500.00,33.48
7,14.75,20.00,500.00,33.89
11,15.01,20.00,500.00,33.32
12,14.95,20.00,500.00,33.46
10,15.07,20.00,500.00,33.18
9,15.13,20.00,500.00,33.04
8,15.19,20.00,500.00,32.91
13,15.47,20.00,500.00,32.31
14,16.59,20.00,500.00,30.14
15,17.42,20.00,500.00,28.70
16,17.96,20.00,500.00,27.83
17,18.51,20.00,500.00,27.02
18,19.05,20.00,500.00,26.25
19,28.84,20.00,500.00,17.34
21,28.72,20.00,500.00,17.41
20,28.78,20.00,500.00,17.37
22,29.03,20.00,500.00,17.23
26,28.78,20.00,500.00,17.37
23,28.97,20.00,500.00,17.26
24,28.91,20.00,500.00,17.29
25,28.85,20.00,500.00,17.33
27,29.35,20.00,500.00,17.04
28,30.46,20.00,500.00,16.41
29,31.29,20.00,500.00,15.98
30,31.84,20.00,500.00,15.71
31,32.41,20.00,500.00,15.43
32,33.24,20.00,500.00,15.04
33,42.77,20.00,500.00,11.69
34,43.00,20.00,500.00,11.63
38,42.76,20.00,500.00,11.69
37,42.82,20.00,500.00,11.68
36,42.89,20.00,500.00,11.66
35,42.95,20.00,500.00,11.64
39,43.05,20.00,500.00,11.61
40,43.31,20.00,500.00,11.55
41,44.42,20.00,500.00,11.26
42,45.26,20.00,500.00,11.05
43,45.83,20.00,500.00,10.91
44,45.77,20.00,500.00,10.92
45,46.31,20.00,500.00,10.80
46,47.17,20.00,500.00,10.60
47,48.57,20.00,500.00,10.29
50,56.84,20.00,500.00,8.80
51,56.78,20.00,500.00,8.81
48,56.96,20.00,500.00,8.78
49,56.90,20.00,500.00,8.79
52,57.06,20.00,500.00,8.76
53,57.29,20.00,500.00,8.73
54,58.38,20.00,500.00,8.56
56,59.12,20.00,500.00,8.46
55,59.18,20.00,500.00,8.45
57,59.62,20.00,500.00,8.39
58,59.56,20.00,500.00,8.39
59,60.06,20.00,500.00,8.33
60,60.00,20.00,500.00,8.33
61,60.75,20.00,500.00,8.23
62,62.88,20.00,500.00,7.95
63,62.82,20.00,500.00,7.96
64,69.60,20.00,500.00,7.18
