Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,14.60,20.00,500.00,34.25
2,14.26,20.00,500.00,35.05
3,14.41,20.00,500.00,34.69
4,14.45,20.00,500.00,34.61
5,14.46,20.00,500.00,34.59
6,14.49,20.00,500.00,34.51
7,14.43,20.00,500.00,34.66
8,14.44,20.00,500.00,34.63
9,14.52,20.00,500.00,34.44
10,14.50,20.00,500.00,34.48
11,14.50,20.00,500.00,34.48
12,14.48,20.00,500.00,34.52
13,14.46,20.00,500.00,34.58
14,14.42,20.00,500.00,34.67
15,14.30,20.00,500.00,34.96
16,13.81,20.00,500.00,36.19
